Transaction_ID,Product_Name,Date,Quantity
T0001,Coffee,2024-02-24,3
T0001,Milk,2024-02-24,3
T0002,Cereal,2024-01-15,4
T0002,Milk,2024-01-15,3
T0003,Yogurt,2024-02-28,4
T0003,Fruit,2024-02-28,2
T0004,Milk,2024-03-21,1
T0004,Bread,2024-03-21,1
T0005,Yogurt,2024-03-25,4
T0005,Cereal,2024-03-25,4
T0006,Coffee,2024-03-12,3
T0006,Bread,2024-03-12,1
T0007,Milk,2024-03-26,4
T0007,Butter,2024-03-26,1
T0008,Bread,2024-02-21,1
T0008,Yogurt,2024-02-21,5
T0009,Coffee,2024-02-03,4
T0009,Milk,2024-02-03,3
T0010,Eggs,2024-01-15,4
T0010,Cheese,2024-01-15,2
T0011,Eggs,2024-03-01,3
T0011,Milk,2024-03-01,4
T0012,Yogurt,2024-03-08,2
T0012,Fruit,2024-03-08,3
T0013,Cheese,2024-03-02,4
T0013,Coffee,2024-03-02,1
T0014,Milk,2024-02-06,1
T0014,Butter,2024-02-06,3
T0015,Eggs,2024-03-29,3
T0015,Bread,2024-03-29,3
T0016,Yogurt,2024-01-17,3
T0016,Fruit,2024-01-17,1
T0017,Milk,2024-01-31,3
T0017,Butter,2024-01-31,5
T0018,Eggs,2024-01-31,5
T0018,Bread,2024-01-31,3
T0019,Eggs,2024-02-21,4
T0019,Cheese,2024-02-21,3
T0020,Coffee,2024-01-15,1
T0020,Milk,2024-01-15,1
T0021,Coffee,2024-01-28,5
T0021,Bread,2024-01-28,4
T0022,Milk,2024-03-13,2
T0022,Butter,2024-03-13,2
T0023,Cereal,2024-02-25,5
T0023,Milk,2024-02-25,3
T0024,Eggs,2024-01-10,4
T0024,Cheese,2024-01-10,3
T0025,Butter,2024-01-01,4
T0025,Bread,2024-01-01,3
T0026,Juice,2024-02-01,1
T0026,Cereal,2024-02-01,1
T0027,Bread,2024-02-28,5
T0027,Milk,2024-02-28,3
T0027,Juice,2024-02-28,1
T0028,Coffee,2024-03-27,4
T0028,Eggs,2024-03-27,3
T0029,Butter,2024-02-03,4
T0030,Eggs,2024-03-28,4
T0030,Bread,2024-03-28,3
T0031,Yogurt,2024-02-15,5
T0031,Eggs,2024-02-15,2
T0032,Yogurt,2024-03-06,5
T0032,Fruit,2024-03-06,1
T0033,Yogurt,2024-03-20,1
T0033,Fruit,2024-03-20,1
T0034,Eggs,2024-03-17,1
T0034,Bread,2024-03-17,3
T0035,Cereal,2024-01-02,3
